vector;counting;1;1000000;0.1250;0.1250;1050000
vector;counting;1;1250000;0.1560;0.1560;1300000
vector;counting;1;1500000;0.2350;0.2350;1550000
vector;counting;1;1750000;0.2650;0.2650;1800000
vector;counting;1;2000000;0.2660;0.2660;2050000
vector;counting;1;2250000;0.2810;0.2810;2300000
vector;counting;1;250000;0.0150;0.0150;300000
vector;counting;1;2500000;0.3910;0.3910;2550000
vector;counting;1;2750000;0.3590;0.3590;2800000
vector;counting;1;3000000;0.4060;0.4060;3050000
vector;counting;1;3250000;0.4690;0.4690;3300000
vector;counting;1;3500000;0.5000;0.5000;3550000
vector;counting;1;3750000;0.5150;0.5150;3800000
vector;counting;1;4000000;0.5310;0.5310;4050000
vector;counting;1;4250000;0.5470;0.5470;4300000
vector;counting;1;4500000;0.6250;0.6250;4550000
vector;counting;1;4750000;0.5940;0.5940;4800000
vector;counting;1;500000;0.0780;0.0780;550000
vector;counting;1;5000000;0.6880;0.6880;5050000
vector;counting;1;750000;0.1090;0.1090;800000
vector;merge;1;1000000;1.6570;1.6570;18673776
vector;merge;1;1250000;2.2340;2.2340;23762661
vector;merge;1;1500000;2.7190;2.7190;28910636
vector;merge;1;1750000;3.3600;3.3600;34111530
vector;merge;1;2000000;3.9530;3.9530;39349154
vector;merge;1;2250000;4.8590;4.8590;44660733
vector;merge;1;250000;0.3910;0.3910;4168529
vector;merge;1;2500000;5.2190;5.2190;50025359
vector;merge;1;2750000;5.6720;5.6720;55413964
vector;merge;1;3000000;6.6250;6.6250;60820625
vector;merge;1;3250000;6.9840;6.9840;66256428
vector;merge;1;3500000;7.5000;7.5000;71723761
vector;merge;1;3750000;8.1880;8.1880;77203397
vector;merge;1;4000000;8.7340;8.7340;82696740
vector;merge;1;4250000;9.3600;9.3600;88218269
vector;merge;1;4500000;10.0780;10.0780;93820736
vector;merge;1;4750000;10.6720;10.6720;99430134
vector;merge;1;500000;0.9220;0.9220;8837131
vector;merge;1;5000000;13.4530;13.4530;105049416
vector;merge;1;750000;1.3590;1.3590;13705076
vector;heap;1;1000000;4.3900;4.3900;36793658
vector;heap;1;1250000;5.5930;5.5930;46829144
vector;heap;1;1500000;6.7040;6.7040;57016444
vector;heap;1;1750000;7.3590;7.3590;67273750
vector;heap;1;2000000;9.2500;9.2500;77589062
vector;heap;1;2250000;10.4690;10.4690;88054494
vector;heap;1;250000;0.8130;0.8130;8198400
vector;heap;1;2500000;12.0460;12.0460;98658662
vector;heap;1;2750000;13.3910;13.3910;109321256
vector;heap;1;3000000;15.0470;15.0470;120032302
vector;heap;1;3250000;16.4220;16.4220;130780154
vector;heap;1;3500000;16.9530;16.9530;141552202
vector;heap;1;3750000;17.4220;17.4220;152353586
vector;heap;1;4000000;19.0160;19.0160;163175876
vector;heap;1;4250000;20.6720;20.6720;174055302
vector;heap;1;4500000;22.6560;22.6560;185108728
vector;heap;1;4750000;24.0000;24.0000;196197020
vector;heap;1;500000;2.0000;2.0000;17396404
vector;heap;1;5000000;25.2970;25.2970;207318322
vector;heap;1;750000;2.9680;2.9680;27007186
